SHAPE_Leng,WWTF,RcvWatr,Shape_Length,Shape_Area,RATIO_EST_REAL,pop_seward,OBJECTID,FID_sewardships_projects,FREQUENCY,SUM_POP_ALLOC,SUM_W_RPL,RPL_SEW
9701.891369850000046,New Shoreham,Ocean,9701.891201023045141,2638983.046452819369733,-99,700,1,1,1,10.011976924527184,5.761892720065394,0.575500000000000
316756.108308000024408,Newport,Narragansett Bay,316756.110780241026077,392525402.611143231391907,-15,41600,2,2,15,35397.598317653420963,18872.403641441454965,0.533154918367144
461669.271971000009216,South Kingstown,Ocean,461669.275082386389840,264060970.056516528129578,-57,29400,3,3,10,12572.793824227725054,4311.580842579704949,0.342929415916398
35302.783868400001666,Jamestown,Narragansett Bay,35302.783504090097267,31346761.804679233580828,-69,2100,4,4,1,659.832336569566110,45.792364157927892,0.069400000000000
120088.338101000001188,Quonset Point,Narragansett Bay,120088.337449793441920,113599047.911364972591400,-71,10000,5,5,2,2903.474937457698161,1819.692638174173453,0.626729239057083
99208.155836499994621,Bristol,Narragansett Bay,99208.155836430363706,193683613.847997874021530,-22,21100,6,6,5,16490.090086532625719,3838.576372577557777,0.232780800616275
294706.399860000004992,East Providence,Providence River,294706.399860146921128,472128351.330678105354309,10,46100,7,7,15,50635.169088128393923,22199.977959839179675,0.438430015335804
423364.920783000008669,Bucklin Point,Seekonk River,423364.919555283500813,936620429.703805685043335,23,120000,8,8,45,147643.295498337101890,99474.760632619552780,0.673750611545649
335704.988346999976784,Fields Point,Providence River,335704.989100720966235,1104008848.319126367568970,6,240000,9,9,76,255343.208781992580043,175121.667640273750294,0.685828569616627
577382.942424000008032,West Warwick,Pawtuxet River,577382.950032577384263,266488114.187624335289001,1,33000,10,10,17,33437.890780638721480,19145.680223430237675,0.572574399175800
269599.997543999983463,Burrillville,Clear River,269599.997872504405677,172249999.745342642068863,-57,10000,11,11,3,4290.588686169565335,2586.120132193852896,0.602742495576433
6799.999523329999647,Zambarano,Clear River,6799.998539095497108,1839999.808621450560167,,,12,12,1,9.692041136874783,2.096388497906016,0.216300000000000
181932.102304000000004,Woonsocket,Blackstone River,181932.098710267106071,290438322.144664049148560,-12,51400,13,13,18,45259.848724736257282,35854.870657416373433,0.792200408699561
369990.251604999997653,Warwick,Pawtuxet River,369990.251837431627791,800469383.774540305137634,22,60224,14,14,42,73665.919625366455875,31139.400860462083074,0.422711085652956
131035.526138999994146,Westerly,Pawcatuck River,131035.444037110268255,178612994.140010327100754,-33,16500,15,15,5,11080.329041449840588,6069.297853300834504,0.547754297782720
35322.333146600001783,Fall River,Mt Hope Bay,35322.333146572527767,10112313.819662658497691,,,16,16,2,784.897130323804276,267.936747292862151,0.341365431139144
87450.116872099999455,East Greenwich,Greenwich Bay,87450.115254950418603,122665251.441589131951332,22,6000,17,17,7,7330.956484764143170,802.999471850553050,0.109535430133765
305918.047688000020571,Smithfield,Woonasquatucket River,305917.785192826995626,275163235.099259674549103,-29,14000,18,18,10,9984.872484768038703,3775.264366643029007,0.378098405603297
199259.635362000000896,Cranston,Pawtuxet River,199259.635660318395821,470129960.993756175041199,-8,73200,19,19,44,67110.967644439879223,35620.852249889467203,0.530775423156049
94045.893850199994631,Scarborough,Ocean,94045.893609373684740,49906539.750399842858315,-76,7300,20,20,2,1759.095384072084471,508.651033680690603,0.289154890795761
95638.368018399996799,Warren,Warren River,95638.368018509310787,87974173.849514603614807,-23,11000,21,21,5,8479.194683103414718,3821.165883692293392,0.450651981290956
